annotation	emp_pval	enrich_per_mean_diff_by_genomstd	error	matched_25th	matched_5th	matched_75th	matched_95th	mean_matched_across_trait_loci	mean_trait_loci	median_matched_loci	median_trait_loci	n_lead_loci_final	n_lead_snp	n_matched_sets	partition_id	percent_matched_and_ld_removed	percent_trait_and_ld_snps_removed	regions_summary	std_matched_across_trait_loci	trait_name	trait_summary
gerp	0.0	0.14799074619437064	False	-0.6835683164373643	-0.7463445564808111	-0.597568177045619	-0.5344184957639392	-0.6402597131931372	-0.3615775380159305	-0.6399806879073136	0.077	1381	1381	5000	(-0.165814, -0.02140582]	2.888456841520955	0.0	extreme	0.06439658197291577	bolt_ht	mean
gerp	0.0	-0.1287313429850487	False	-0.9417547536231884	-1.0087006608695654	-0.8496487282608696	-0.7838091467391303	-0.8958942242936957	-1.1383089130434783	-0.8962167681159421	-0.4215	1380	1380	5000	(-0.02140582, -0.01169522]	3.153388718845649	0.0	extreme	0.06851749820868593	bolt_ht	mean
gerp	0.0	-0.1409223243364766	False	-0.884777916364953	-0.9499353745112238	-0.7937155569514844	-0.72975397429399	-0.8398205009685779	-1.1051920926864591	-0.8399495112237509	-0.456	1381	1381	5000	(-0.01169522, 0.011322640000000004]	4.130363567744371	0.0	extreme	0.06678183544977537	bolt_ht	mean
gerp	0.1256	-0.04227541320527524	False	-1.0017659565217394	-1.0694217326086957	-0.9086166423913045	-0.8393311181159422	-0.9550885347750363	-1.0346975942028984	-0.9550267608695651	-0.43150000000000005	1380	1380	5000	(0.011322640000000004, 0.02013272]	2.747632850241546	0.0	extreme	0.06977075294706926	bolt_ht	mean
gerp	0.0	0.14425480487034695	False	-0.7240657766111513	-0.787303679942071	-0.6348837871107893	-0.571685433743664	-0.6795771848769243	-0.4079301810282404	-0.6795865170166546	0.113	1381	1381	5000	(0.02013272, 0.141562]	2.8749349404191205	0.0	extreme	0.06576080010574567	bolt_ht	mean
fst_eur_afr	0.3494	-0.00824361643470683	False	0.06531329412087256	0.06298728891601808	0.06860479734855318	0.07095837550912129	0.06696882401527661	0.06600001611687184	0.06695912289209982	0.0298469	1381	1381	5000	(-0.165814, -0.02140582]	2.89330835414932	0.0	extreme	0.0024367071339651113	bolt_ht	mean
fst_eur_afr	0.0	0.17600570615341632	False	0.12043162949376085	0.11731644475667788	0.1248952671659366	0.12819844789997753	0.12272188627165952	0.14340646319688405	0.12269611037999772	0.09547225000000001	1380	1380	5000	(-0.02140582, -0.01169522]	3.1575951027547005	0.0	extreme	0.003295364207452325	bolt_ht	mean
fst_eur_afr	0.0	0.15494405483108156	False	0.13793893667849635	0.1346180729886627	0.14272213310048007	0.14609764173812093	0.14032958677560964	0.1585389522064446	0.1402643734596457	0.12774000000000002	1381	1381	5000	(-0.01169522, 0.011322640000000004]	4.135106302679582	0.0	extreme	0.003530978988376282	bolt_ht	mean
fst_eur_afr	0.0	0.13898425196729997	False	0.1251768249805221	0.12191346481126608	0.12964974651581523	0.13298243575297217	0.1274208506180452	0.143754584984058	0.12736747650661948	0.1028945	1380	1380	5000	(0.011322640000000004, 0.02013272]	2.751446433645922	0.0	extreme	0.0033720011403875665	bolt_ht	mean
fst_eur_afr	0.1786	0.01986500532054462	False	0.07150198314726104	0.06917938434215858	0.07495581842780227	0.07761022427147357	0.07328130204297263	0.07561588107255612	0.07322698130166365	0.0358927	1381	1381	5000	(0.02013272, 0.141562]	2.879800027393508	0.0	extreme	0.0025287515501554183	bolt_ht	mean
